Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
r_tyre,0.1307,1.1102E-16,2.7756E-16,0,0,0,7.6828,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/r_tyre.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Assem2/meshes/r_tyre.STL,,New tyre with rim-2/tyre-1,Origin_r_tyre_j,Axis_r_tyre_j,r_tyre_j,fixed,0,0,0,-2.827,0,0,r_rim,1,0,0,,,,,,,,,,,,
fl_upper,-3.4694E-18,0.012951,0.02796,0,0,0,0.32153,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/fl_upper.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/fl_upper.STL,,upper mount for chassis-3,Origin_fl_upper_j,,fl_upper_j,fixed,0.30673,-0.03047,0.67527,-1.5708,0,-1.5708,Chassis,0,0,0,,,,,,,,,,,,
fl_fixed,0.32385,0.194,-0.31372,0,0,0,1.8214,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/fl_fixed.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/fl_fixed.STL,,upper part-1,Origin_fl_fixed_j,,fl_fixed_j,fixed,0.62076,-0.0035296,-0.0034704,0.051754,0,3.1416,fl_upper,0,0,0,,,,,,,,,,,,
fr_upper,3.4694E-18,-0.012951,-0.02796,0,0,0,0.32153,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/fr_upper.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/fr_upper.STL,,upper mount for chassis-4,Origin_fr_upper_j,,fr_upper_j,fixed,-0.30673,-0.03047,0.67527,1.5708,0,1.5708,Chassis,0,0,0,,,,,,,,,,,,
fr_fixed,0.32385,0.194,-0.31372,0,0,0,1.8214,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/fr_fixed.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/fr_fixed.STL,,upper part-1,Origin_fr_fixed_j,,fr_fixed_j,fixed,-0.62076,0.0035296,0.60999,0.051754,0,0,fr_upper,0,0,0,,,,,,,,,,,,
rl_upper,0,0.012951,0.02796,0,0,0,0.32153,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/rl_upper.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/rl_upper.STL,,upper mount for chassis-1,Origin_rl_upper_j,,rl_upper_j,fixed,0.30673,-0.62429,0.67527,-1.5708,0,-1.5708,Chassis,0,0,0,,,,,,,,,,,,
rl_fixed,0.32385,0.194,-0.31372,0,0,0,1.8214,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/rl_fixed.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/rl_fixed.STL,,upper part-1,Origin_rl_fixed_j,,rl_fixed_j,fixed,0.026941,-0.0035296,-0.0034704,0.051754,0,3.1416,rl_upper,0,0,0,,,,,,,,,,,,
rr_upper,0,-0.012951,-0.02796,0,0,0,0.32153,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/rr_upper.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/rr_upper.STL,,upper mount for chassis-2,Origin_rr_upper_j,,rr_upper_j,fixed,-0.30673,-0.62429,0.67527,1.5708,0,1.5708,Chassis,0,0,0,,,,,,,,,,,,
rr_fixed,0.32385,0.194,-0.31372,0,0,0,1.8214,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/rr_fixed.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/rr_fixed.STL,,upper part-1,Origin_rr_fixed_j,,rr_fixed_j,fixed,-0.026941,0.0035296,0.60999,0.051754,0,0,rr_upper,0,0,0,,,,,,,,,,,,
left_p1,5.5511E-17,0.061717,0.014443,0,0,0,4.5214,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/left_p1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/left_p1.STL,,Chassis mount for castor-p1-1,Origin_left_p1_j,,left_p1_j,fixed,0.20383,-0.90247,0.39587,1.5708,0,3.1416,Chassis,0,0,0,,,,,,,,,,,,
left_p2,2.7756E-17,0.0019712,-0.046369,0,0,0,2.9176,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/left_p2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/left_p2.STL,,Castor mount for chasis-2,Origin_left_p2_j,,left_p2_j,fixed,0,0.0108,-0.0127,0,0,0,left_p1,0,0,0,,,,,,,,,,,,
l_mount,-2.7756E-17,-0.002632,-1.1102E-16,0,0,0,3.3553,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_mount.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/l_mount.STL,,Castor_wheel-2/Mount-1,Origin_l_mount_j,,l_mount_j,fixed,0,-0.02,-0.07,3.1416,0,3.1416,left_p2,0,0,0,,,,,,,,,,,,
l_mounting_body,5.4971E-09,-0.051889,0.045522,0,0,0,3.4201,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_mounting_body.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/l_mounting_body.STL,,Castor_wheel-2/Mounting body-1,Origin_l_mounting_body_j,,l_mounting_body_j,revolute,0,-0.03,0,0,0.0024378,0,l_mount,0,1,0,1,1,-1.57,1.57,,,,,,,,
l_screw,0,0.038426,-1.7097E-14,0,0,0,0.27143,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,package://Assem2/meshes/l_screw.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Assem2/meshes/l_screw.STL,,Castor_wheel-2/Screw-1,Origin_l_screw_j,,l_screw_j,fixed,-0.055,-0.17,0.147,0,0,-1.5708,l_mounting_body,0,0,0,,,,,,,,,,,,
